"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"AccessPermitInner","ARSTOTZKA","ARSTOTZKA"
"AccessPermitInner","Access Permit","Tillträdestillstånd"
"AccessPermitInner","This permit grants conditional access to the sovereign nation of Arstotzka","Detta tillstånd ger villkorligt tillträde
till den suveräna nationen Arstotzka"
"AccessPermitInner","NAME","NAMN"
"AccessPermitInner","NATIONALITY","NATIONALITET"
"AccessPermitInner","PURPOSE","SYFTE"
"AccessPermitInner","HEIGHT","LÄNGD"
"AccessPermitInner","PHYSICAL APPEARANCE","UTSEENDE"
"AccessPermitInner","ID NUMBER","ID-NUMMER"
"AccessPermitInner","DURATION","VARAKTIGHET"
"AccessPermitInner","WEIGHT","VIKT"
"AccessPermitInner","ENTER BY","INTRÄDE INNAN"
"AccessPermitInner","Keep on person","Ha alltid med"
"AccessPermitInner","Ministry of Admission","Tillträdesministeriet"
"AsylumGrantInner","Arstotzka","Arstotzka"
"AsylumGrantInner","GRANT of ASYLUM","BEVILJADE av ASYL"
"AsylumGrantInner","This document grants conditional asylum status within Arstotzkan borders","Detta dokument beviljar villkorlig asyl-status inom Arstotzkanska gränser"
"AsylumGrantInner","NAT","NAT"
"AsylumGrantInner","ID#","ID#"
"AsylumGrantInner","DOB","FÖD"
"AsylumGrantInner","HT","LGD"
"AsylumGrantInner","WT","VKT"
"AsylumGrantInner","Offer expires after","Erbjudande upphör"
"AsylumGrantInner","Ministry of Admission","Tillträdesministeriet"
"BizCardInnerFront","ENGINEERING","INGENJÖRSTEKNIK"
"BizCardInnerFront","Director","Föreståndare"
"BizCardInnerBack","WE NEED ENGINEERS","INGENJÖRER SÖKES"
"BizCardInnerBack","WILL BEAT .GOV PAY","BÄTTRE LÖN ÄN STATEN"
"BizCardInnerBack","CONTACT NOW","RING NU"
"BrothelHelpInner","A man named <span>Dari Ludum</span> promised me and my sister good work in Arstotzka.","En man vid namn <span>Dari Ludum</span> lovade mig och min syster bra arbete i Arstotzka."
"BrothelHelpInner","I do not trust him. I am afraid he will take my passport and force me to work at brothel. He is in line today.","Jag litar inte på honom. Jag är rädd att han tar mitt pass och tvingar mig jobba bodell. Han står i kö idag."
"BrothelHelpInner","Please do something.","Snälla gör någonting."
"BulletinInnerDiploTut","Diplomat","Diplomat"
"BulletinInnerDiploTut","Verification Procedure","Verifikationsprocedur"
"BulletinInnerDiploTut","Verify issuing country","Verifiera utfärd.-land"
"BulletinInnerDiploTut","Verify identity","Verifiera identitet"
"BulletinInnerDiploTut","Verify diplomatic access to Arstotzka","Verifiera diplomatisk tillgång till Arstotzka"
"BulletinInnerMissingTut","Missing documents can be correlated by highlighting counter and pertinent entry in rule book.","Saknade dokument kan korreleras genom att markera disken och relevant uppslag i regelverket."
"BulletinInnerRuleTut","Correlate pertinent entry in rule book with violating information to enable further options.","Korrelera relevant uppslag i regelverket som motstridig information för att möjliggöra fler alternativ."
"BulletinInnerContraTut","Correlate discovered weapons and contraband with rulebook entry.","Korrelera upptäckta vapen och smuggelgods med uppslag i regelverk."
"BulletinInnerCorrelateTut","Highlight two pieces of discrepant information from INSPECT mode to enable interrogation.","Markera två delar avvikande information från INSPEKTIONS-läget för att aktivera förhör."
"BulletinInnerPassportTut","Pay attention to passport nationality.","Var uppmärksam på passnationalitet."
"BulletinInnerBoothTut","Arstotzkan<br>Ministry of Admission","Arstotzkanska<br>Tillträdesministeriet"
"BulletinInnerBoothTut","Inspector's Booth","Inspektörsbås"
"BulletinInnerBoothTut","Shutter","Lucka"
"BulletinInnerBoothTut","Counter","Disk"
"BulletinInnerBoothTut","Rule Book<br>Audio Transcript<br>Bulletin Storage<br>Time &amp; Date","Regelverk<br>Bandutskrift<br>Bulletinförvaring<br>Tid &amp; datum"
"BulletinInnerGunTut","Weapons Protocol","Vapenprotokoll"
"BulletinInnerGunTut","WHEN ALARM SOUNDS","NÄR LARMET LJUDER"
"BulletinInnerGunTut","Drop key on tumbler to unlock weapon.","Släpp nyckeln på tumlaren för att låsa upp vapen."
"BulletinInnerGunTut","Select gun, aim and fire.","Välj vapen, sikta och skjut."
"BulletinInnerGunTut","Time is short. Act fast.","Tiden är knapp.<br>Agera snabbt."
"BulletinInnerFilerTut","Passport Confiscation","Passkonfiskering"
"BulletinInnerFilerTut","Verify ALTAN resident on id.","Verifiera ALTAN-<br>invånare på id."
